Exercício;Município;Nº da Licitação;Objeto;Data de Abertura;Data de Cadastro;Situação;Modalidade;Tipo de Obra;Síntese do Objeto;Elemento;Valor Utilizado;Valor Estimado Global;Objeto/Lote;Vencedor;CPF/CNPJ;Valor;Data de Fechamento;Link
2020;LIMOEIRO DO NORTE;001/2020;AQUISIÇÃO DE COMBUSTÍVEIS DESTINADO AOS VEÍCULOS A DISPOSIÇÃO DA CÂMARA MUNICIPAL DE LIMOEIRO DO NORTE;22/01/2020;10/01/2020;Finalizada;Pregão;Nenhuma;Combustíveis/Lubrificantes/Derivados de Petróleo;33903000;R$54.107,75;R$54.107,75;GASOLINA COMUM;BEZERRA E FILHO LTDA;05.267.406/0002-30;R$53.935,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152398/licit/115621
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE LICITAÇÃO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.650,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE LICITAÇÃO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.764,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE ALMOXARIFADO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.800,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PORTAL DA TRANSPARÊNCIA EM ATENDIMENTO A LEI DE ACESSO A INFORMAÇÃO, JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.255,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PATRIMÔNIO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.270,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PATRIMÔNIO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.504,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE CONTABILIDADE JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$9.825,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE CONTABILIDADE JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$10.512,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503
2020;JAGUARIBE;01.06.001/2020;Contratação da prestação de serviços com locação de sistemas informatizados de contabilidade, licitação, patrimônio, veículos e almoxarifado, conforme especificações no edital;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33904000;R$16.371,63;R$16.371,63;LOTE UNICO;SISTEMAS INTEGRADOS APLICADO AO SETOR PÚBLICO - LTDA.;18.603.971/0001-91;R$14.850,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152377/licit/115604
